,year,format,otrasl,value
290,2017,Трансграничная(out-in),IT,1342.9568057142858
291,2017,Трансграничная(out-in),ДОБЫЧА,4212.5709
292,2017,Трансграничная(out-in),ЛЕСНАЯ,2152.2541
293,2017,Трансграничная(out-in),МЕТАЛЛУРГИЯ,879.3660179999999
294,2017,Трансграничная(out-in),ПИЩЕВАЯ,1617.9861219999998
295,2017,Трансграничная(out-in),Прочие производства,1276.3718
296,2017,Трансграничная(out-in),СВЯЗЬ,29351.335000000003
297,2017,Трансграничная(out-in),СТРОИТЕЛЬСТВО,1663.3567914999999
298,2017,Трансграничная(out-in),ТЭК,17529.284626
299,2017,Трансграничная(out-in),ТОРГОВЛЯ,1744.6052674999996
300,2017,Трансграничная(out-in),ТранСПОРТ,2991.3495000000003
301,2017,Трансграничная(out-in),УСЛУГИ,902.67403
302,2017,Трансграничная(out-in),ФИНАНСОВЫЕ ИНСТИТУТЫ,1820.4068571428575
303,2017,Трансграничная(out-in),НЕФТЕХИМ,1724.54623
304,2017,Трансграничная(out-in),ЭЛЕКТРОЭНЕРГЕТИКА,6249.6217
305,2018,Внутренняя,IT,1866.3781181818185
306,2018,Внутренняя,ДОБЫЧА,7250.533841428572
307,2018,Внутренняя,ЛЕСНАЯ,3899.6063842857147
308,2018,Внутренняя,МАШИНОСТРОЕНИЕ,2634.4528645454543
309,2018,Внутренняя,МЕТАЛЛУРГИЯ,2593.9389575
310,2018,Внутренняя,ПИЩЕВАЯ,777.5811460000001
311,2018,Внутренняя,Прочие производства,125.1874
312,2018,Внутренняя,СМИ,5688.377422500001
313,2018,Внутренняя,СВЯЗЬ,693.4006442857143
314,2018,Внутренняя,СЕЛЬХОЗ,2636.4550606666667
315,2018,Внутренняя,СПОРТ,159.78238
316,2018,Внутренняя,Страхование,1906.33387
317,2018,Внутренняя,СТРОИТЕЛЬСТВО,6083.030435119048
318,2018,Внутренняя,ТЭК,5691.498893
319,2018,Внутренняя,ТОРГОВЛЯ,7906.697834399999
320,2018,Внутренняя,ТранСПОРТ,16881.626720714285
321,2018,Внутренняя,УСЛУГИ,646.244378275862
322,2018,Внутренняя,ФИНАНСОВЫЕ ИНСТИТУТЫ,17214.271529999998
323,2018,Внутренняя,НЕФТЕХИМ,4998.32414
324,2018,Внутренняя,ЭЛЕКТРОЭНЕРГЕТИКА,5851.781379999999
325,2018,Трансграничная(in-out),IT,159.80434
326,2018,Трансграничная(in-out),МАШИНОСТРОЕНИЕ,4057.485616666667
327,2018,Трансграничная(in-out),СТРОИТЕЛЬСТВО,26051.475000000002
328,2018,Трансграничная(in-out),ТОРГОВЛЯ,1400.0320000000002
329,2018,Трансграничная(in-out),ТранСПОРТ,3139.144375
330,2018,Трансграничная(in-out),УСЛУГИ,16.34688
331,2018,Трансграничная(out-in),IT,104226.30150000002
332,2018,Трансграничная(out-in),ДОБЫЧА,21978.928596666665
333,2018,Трансграничная(out-in),ЛЕСНАЯ,4001.0265999999997
334,2018,Трансграничная(out-in),МАШИНОСТРОЕНИЕ,8829.762762499999
335,2018,Трансграничная(out-in),МЕТАЛЛУРГИЯ,3048.7387
336,2018,Трансграничная(out-in),ПИЩЕВАЯ,100448.8
337,2018,Трансграничная(out-in),Прочие производства,265.52018999999996
338,2018,Трансграничная(out-in),СВЯЗЬ,2458.7392
339,2018,Трансграничная(out-in),СЕЛЬХОЗ,16019.068500000001
340,2018,Трансграничная(out-in),СТРОИТЕЛЬСТВО,2463.449392857143
341,2018,Трансграничная(out-in),ТЭК,65.74520333333334
342,2018,Трансграничная(out-in),ТОРГОВЛЯ,5383.691523333334
343,2018,Трансграничная(out-in),ТранСПОРТ,1161.2088633333333
344,2018,Трансграничная(out-in),УСЛУГИ,4382.19758
345,2018,Трансграничная(out-in),ФИНАНСОВЫЕ ИНСТИТУТЫ,272.79868
