year,otrasl,IHH,MA,real_prices,real_gdp_change,market_type,type_1,type_2,type_3,type_4,value_inout,value_in,value_outin
2014,УСЛУГИ,16.6185213898328,77850.00819999991,72418.61227906974,408.890697674433,0,0,0,0,0,4125.434882000001,1493.3980789999994,44.31792
2014,ФИНАНСОВЫЕ ИНСТИТУТЫ,2908.25493253216,126378.19281,117561.10959069773,408.890697674433,4,0,0,0,1,10990.889376666668,2786.830331842106,1309.1209375
2014,ЭЛЕКТРОЭНЕРГЕТИКА,146.67090670468798,28337.702149999903,26360.6531627907,408.890697674433,1,1,0,0,0,9600.80928,1488.2458792857144,
2015,IT,98.7206934505224,109740.54,94522.42985357447,-1971.47286821707,0,0,0,0,0,443.37074500000006,1119.3124108333334,17920.373158000002
2015,ДОБЫЧА,842.981755402188,6636.37,5716.084151593454,-1971.47286821707,3,0,0,1,0,662.393,51111.843051428565,644.08632
2015,ЛЕГКАЯ,116.25738984363899,496.79475,427.9024547803618,-1971.47286821707,1,1,0,0,0,,496.79475,
2015,ЛЕСНАЯ,103.378135897425,1007.87962,868.113367786391,-1971.47286821707,1,1,0,0,0,,148.16875000000005,649.48108
2015,МАШИНОСТРОЕНИЕ,93.8776559030716,13179.23107,11351.620215331612,-1971.47286821707,0,0,0,0,0,402.9790633333334,1716.4653420000002,1352.96719
2015,МЕТАЛЛУРГИЯ,379.31385570731896,41652.58537,35876.47318690784,-1971.47286821707,2,0,1,0,0,4481.9893649999985,3094.099217142857,3337.51705
2015,НЕФТЕХИМ,273.736853314529,24758.99144,21325.57402239449,-1971.47286821707,2,0,1,0,0,,3517.756830000001,1217.4834866666667
2015,ПИЩЕВАЯ,47.91817352910601,8014.86,6903.41457364341,-1971.47286821707,0,0,0,0,0,895.0633,1079.81996625,772.1958766666667
2015,СВЯЗЬ,1281.35901660924,71580.83137,61654.46285099053,-1971.47286821707,4,0,0,0,1,,941.711040625,12990.20816
2015,СЕЛЬХОЗ,16.3548152681143,51337.8685199999,44218.66366925065,-1971.47286821707,0,0,0,0,0,899.4888,1852.7274313793107,8527.697473999999
2015,СМИ,321.11892041915,33173.54044,28573.24757967269,-1971.47286821707,2,0,1,0,0,,1671.5275463636358,
2015,СПОРТ,369.420258887636,33074.16926,4589.143359173128,-1971.47286821707,2,0,1,0,0,33074.16926,,
2015,СТРОИТЕЛЬСТВО,51.406888861385404,588002.64555,506462.2270025846,-1971.47286821707,0,0,0,0,0,503.1033,10345.247219824569,12379.300285714287
2015,ТОРГОВЛЯ,164.38821669127202,99239.00598,85477.18000000001,-1971.47286821707,1,1,0,0,0,5103.712966666666,2633.4525433333342,1378.974028333333
2015,ТЭК,518.761063153339,477606.52766,411375.13149009476,-1971.47286821707,3,0,0,1,0,41053.128014,14854.129911875,36313.86566666667
2015,УСЛУГИ,24.135784062609304,54901.94619,47288.498010335905,-1971.47286821707,0,0,0,0,0,268.16023,2670.9334838709674,2370.936638333333
2015,ФИНАНСОВЫЕ ИНСТИТУТЫ,3719.032848537801,150675.11885,129780.46412575367,-1971.47286821707,4,0,0,0,1,1492.31354,4110.259788333335,4822.950516
2015,ЭЛЕКТРОЭНЕРГЕТИКА,148.40789184407402,16604.56567,14301.951481481481,-1971.47286821707,1,1,0,0,0,18439.3231,2749.310282222223,
2016,IT,110.62706579413201,307476.86,257624.4651732541,497.0721603877031,1,1,0,0,0,19883.281022727268,1908.502672608696,7477.534576666668
2016,ДОБЫЧА,842.6931800875601,33116.52,27747.21478197047,497.0721603877031,3,0,0,1,0,4906.8600000000015,19399.773756,6482.0977200000025
2016,ЛЕСНАЯ,114.315783035353,8773.16273,7350.736425729864,497.0721603877031,1,1,0,0,0,,991.4644333333334,2824.37613
2016,МАШИНОСТРОЕНИЕ,96.39261930655451,19155.4520199999,16049.705590578362,497.0721603877031,0,0,0,0,0,597.0475,3125.752894,878.9422500000003
2016,МЕТАЛЛУРГИЯ,392.010067885743,21734.12796,18210.29097417026,497.0721603877031,2,0,1,0,0,,842.9095800000001,20048.3088
2016,НЕФТЕХИМ,259.312989395388,76527.85594,64120.10304078397,497.0721603877031,2,0,1,0,0,20115.36,2562.007922,11269.085055
2016,ПИЩЕВАЯ,49.362700284058,49045.37,41093.459147320325,497.0721603877031,0,0,0,0,0,277.19116,2641.7921189473677,359.24276000000015
2016,СВЯЗЬ,1250.5384282415303,49259.1135999999,41272.54580614456,497.0721603877031,4,0,0,0,1,20584.7184,1148.9522907692308,4579.338473333332
2016,СЕЛЬХОЗ,17.307474132974,44805.25149,37540.80533184529,497.0721603877031,0,0,0,0,0,,1485.0772702500005,
2016,СМИ,318.423478143431,16698.7482499999,13991.316564279416,497.0721603877031,2,0,1,0,0,,1729.3745314285711,500.84620250000006
2016,СПОРТ,359.83478409396895,7551.50244,7054.360305921702,497.0721603877031,2,0,1,0,0,,1887.87561,
2016,СТРОИТЕЛЬСТВО,51.83363082956871,634563.65707,531679.4332924456,497.0721603877031,0,0,0,0,0,440.59488,11029.689371500004,2067.445568333333
2016,ТОРГОВЛЯ,127.212033861357,178178.228979999,149289.51375273566,497.0721603877031,1,1,0,0,0,762.11109,3181.2965948076912,7713.614776666667
2016,ТЭК,501.1454418466589,44646.55349,37407.83764331701,497.0721603877031,3,0,0,1,0,,4785.67721875,3381.7214700000004
2016,УСЛУГИ,29.277436111977803,53628.09242,44933.16544170632,497.0721603877031,0,0,0,0,0,1649.956016666667,1042.7871575862068,3643.5799024999997
2016,ФИНАНСОВЫЕ ИНСТИТУТЫ,5001.0504378766,67545.63816,56594.206456932014,497.0721603877031,4,0,0,0,1,5928.3349314285715,1858.3727554838708,4815.541323333334
2016,ЭЛЕКТРОЭНЕРГЕТИКА,150.41568400571398,29137.8315,24413.60384681125,497.0721603877031,1,1,0,0,0,,3400.704752500001,966.09674
2017,IT,13.924398029530899,46197.6,36759.17618876525,1216.0974474312,0,0,0,0,0,650.0200940000002,1415.1521328000006,1342.9568057142858
2017,ДОБЫЧА,906.9299648152561,8821.01,7018.831843871419,1216.0974474312,3,0,0,1,0,395.87285,8907.7082,4212.5709
2017,ЛЕГКАЯ,152.034078180399,150.63646,119.86058568625812,1216.0974474312,1,1,0,0,0,,150.63646,
2017,ЛЕСНАЯ,109.641366227546,1417.325446,1127.757901809409,1216.0974474312,1,1,0,0,0,,354.3313615,2152.2541
2017,МАШИНОСТРОЕНИЕ,105.21145285215799,7229.21769,5752.247937696215,1216.0974474312,1,1,0,0,0,81.69903333333333,1052.7365871428572,
2017,МЕТАЛЛУРГИЯ,400.47202059302316,13793.45243,10975.3726746854,1216.0974474312,3,0,0,1,0,,2025.110016666667,879.3660179999997
2017,НЕФТЕХИМ,271.38902572464497,33098.1435999999,26336.007079719453,1216.0974474312,2,0,1,0,0,,5608.401803333334,1724.5462300000004
2017,ПИЩЕВАЯ,44.3890905858066,23090.64,18373.093473679302,1216.0974474312,0,0,0,0,0,591.25,845.530772173913,1617.9861219999998
2017,СВЯЗЬ,1233.66942041429,11643.73768,9264.856714648979,1216.0974474312,4,0,0,0,1,,626.7562830769232,29351.33500000001
2017,СЕЛЬХОЗ,18.3614333414304,107557.28855,85582.7307706837,1216.0974474312,0,0,0,0,0,163.71248,2873.971880232557,
2017,СМИ,343.16587653207404,32168.43459,25596.242839001163,1216.0974474312,2,0,1,0,0,,3233.065847,
2017,СПОРТ,318.265251348862,6147.814,76896.94737768426,1216.0974474312,2,0,1,0,0,,3073.907,
2017,СТРОИТЕЛЬСТВО,60.102656765797796,206575.8390103989,164371.23557216302,1216.0974474312,0,0,0,0,0,1003.2949199999999,2597.819847194937,1663.3567914999999
2017,ТОРГОВЛЯ,128.50634274606,93370.21542,75886.57407228375,1216.0974474312,1,1,0,0,0,1521.5193499999998,2001.29319,1744.6052674999994
2017,ТЭК,563.551032124088,808404.661038,643243.051141242,1216.0974474312,3,0,0,1,0,163615.07882750002,8274.456021875001,17529.284626
2017,УСЛУГИ,21.3873897235122,85335.283117,67900.80578172293,1216.0974474312,0,0,0,0,0,98477.98398866666,2134.3629978292684,902.67403
2017,ФИНАНСОВЫЕ ИНСТИТУТЫ,6179.306967581779,506567.77236000006,403073.1330572471,1216.0974474312,4,0,0,0,1,2293.8693000000007,34510.07238571429,1820.4068571428575
2017,ЭЛЕКТРОЭНЕРГЕТИКА,156.53531943866102,27813.12122,22130.74443725041,1216.0974474312,1,1,0,0,0,,4373.588036,6249.6217
