Показатель,Тип,Пол,Возраст,01-09-2018,01-10-2018,01-11-2018,01-12-2018,01-01-2019,01-02-2019,01-03-2019,01-04-2019,01-05-2019,01-06-2019,01-07-2019,01-08-2019,01-09-2019
 Объем транзакций pos,Кредитные карты,0,От 70,212679393.343243,243006797.551249,270104786.315772,303141158.00657,254964616.616934,274422372.738029,325891825.571799,377135518.566267,380393814.580087,387836342.390728,423559259.373711,442142243.617359,461181812.264374
 Объем транзакций pos,Кредитные карты,1,0-13,177324.50460502,108157.708987671,199266.304502234,126905.948832747,335760.04765984,357556.770109915,819409.013773052,325601.013324269,526270.079188561,2457566.49577961,2131902.7402672,1117814.3201482,1128016.41387304
 Объем транзакций pos,Кредитные карты,1,14-21,121592241.136532,149677089.709173,166530288.10084,206284733.12561,184893521.026737,184876843.56438,205591541.126793,224168296.610414,234770996.078096,256472514.771095,254073833.494078,249572875.765292,230592622.317293
 Объем транзакций pos,Кредитные карты,1,22-29,10489306764.972,11878342689.9237,11978928847.3002,13216282415.0358,12071981649.4425,11567522118.2,13251372991.5837,13786138225.1863,13632780537.7855,13608704912.2518,14244963436.4268,13476465826.7537,13224446916.8446
 Объем транзакций pos,Кредитные карты,1,30-39,41595230052.0411,46228328211.5312,45924413603.7233,50681331750.3736,45102839889.2231,42695909540.0358,50295796197.5116,52354031669.5857,51791011029.8569,51502161822.2788,54007657633.1691,52813383617.1771,51607881840.956
 Объем транзакций pos,Кредитные карты,1,40-54,41506996523.6345,45533321236.7264,45249321650.1406,49853193462.2108,43523278372.5777,41410405071.0295,49358782199.813,51474894081.7971,51406479856.3584,51829284192.9071,54785932776.4979,53929517037.8312,52197934814.3583
 Объем транзакций pos,Кредитные карты,1,55-59,7100201910.10307,7730126155.33933,7642749471.40871,8332937563.36403,7071687953.97917,6886137322.35448,8143609679.25033,8762230436.35552,8670434397.78274,8714215712.08007,9170420490.66485,8932499513.98605,8761639141.91884
 Объем транзакций pos,Кредитные карты,1,60-69,5478929906.42645,5985749731.76324,5881392324.33111,6553539595.25905,5531311401.61506,5400192172.96718,6505953254.49139,7149212768.2246,7057620397.34976,7147737690.23289,7600141375.15185,7432481722.75977,7331928007.07416
 Объем транзакций pos,Кредитные карты,1,От 70,197651567.672379,225063457.916856,230099841.718458,252305598.781869,225590637.235604,228554187.748525,275438681.530704,308399822.534597,302293168.255244,313164821.135636,339253007.128568,351365945.469218,354488144.62323
 Объем транзакций cash+pos,Кредитные карты,0,0-13,626472.410330569,366764.62581859,240971.768677366,592835.16327391,356720.367915979,231986.018042425,194537.926104485,284703.178137351,198602.588966764,1938084.7138871,763568.705573401,806730.53374843,637663.552535073
 Объем транзакций cash+pos,Кредитные карты,0,14-21,250522269.045086,275235921.691588,278341325.672775,328442149.588634,272212944.788337,285393382.065263,356721038.463036,339134192.165549,375728047.511918,409135723.442437,416503725.641151,403782248.79549,391813262.329753
 Объем транзакций cash+pos,Кредитные карты,0,22-29,11466041061.2111,12490154671.4782,12509244555.3795,13730842161.1736,11877707498.5075,11848500030.2988,13301367431.7883,14230272824.9534,14317235903.6866,14313468664.4277,14929223201.3457,14515197703.0641,13998964775.6347
 Объем транзакций cash+pos,Кредитные карты,0,30-39,39366687025.7973,42573880798.406,42380745371.2509,46452409820.0497,39704488473.9152,39558057597.8102,45165531495.0744,48347017279.6917,48503397527.838,47873517217.5577,50015463964.8275,50918439148.3348,48529804406.2447
 Объем транзакций cash+pos,Кредитные карты,0,40-54,47172509276.8538,50718963625.0871,50722842341.4136,55083592418.1839,46032372784.1766,46030478399.6869,52944826306.206,56790428910.2282,57208120912.688,57052306849.8439,59791036844.265,61379747286.1124,58266070201.7768
 Объем транзакций cash+pos,Кредитные карты,0,55-59,11061287169.8851,11938925642.5204,11736241301.2479,12976782494.0077,10450917849.0746,10495442624.8708,12140594812.5191,13210145351.4932,13099594933.8627,12999026266.3823,13552874428.4552,13708790449.7056,13180261151.9002
 Объем транзакций cash+pos,Кредитные карты,0,60-69,10081106765.0146,11001869535.3556,10805055876.7847,12236439492.0898,9848422483.09041,9920519178.31352,11651054576.0492,12881809955.9077,12722551004.5752,12693789321.7021,13434274557.3235,13638904360.0013,13265509164.5511
 Объем транзакций cash+pos,Кредитные карты,0,От 70,396444876.377982,483716599.918259,480788040.151957,559852115.085536,438295660.529066,467544810.980698,550491777.534836,632491154.017614,650232352.065379,655064334.396605,729658819.763691,736968226.500272,762486686.10573
 Объем транзакций cash+pos,Кредитные карты,1,0-13,177324.50460502,118206.605524977,230934.099628466,263551.890229245,376272.448192185,370749.573150755,844143.28896543,336503.555746978,569733.723717214,2998725.73479437,2151018.83236082,1266260.79067377,1196831.00773204
 Объем транзакций cash+pos,Кредитные карты,1,14-21,254356570.416307,266966436.552006,280618633.974566,312090667.057194,239116553.874693,240344410.004696,347014842.229071,290806129.996967,302362201.239855,330439679.678845,330090017.608292,313602161.394538,277434044.755655
 Объем транзакций cash+pos,Кредитные карты,1,22-29,13261417348.4392,14755829606.239,14697044369.374,16106481015.4104,14571517584.1436,14159458468.1967,15990698158.4778,16601392810.8344,16448516630.3105,16353399631.1289,17022291266.7847,16075825531.0521,15271459061.5411
 Объем транзакций cash+pos,Кредитные карты,1,30-39,51362296463.0745,56146156493.4313,55175309529.4345,60751141908.8574,53177129426.2695,51243252412.9299,59799352597.3503,62117409830.1454,61192325320.9041,60644060621.1506,63390451912.4447,61939465585.9542,59389847589.6459
 Объем транзакций cash+pos,Кредитные карты,1,40-54,53071545892.4966,57245970522.3331,56217058158.2119,61867310080.5915,52943036678.8353,51357310068.5193,60419443132.184,63021724609.8686,62521535217.9222,62846530175.8297,66223130743.995,65179805244.9135,62238286010.6515
 Объем транзакций cash+pos,Кредитные карты,1,55-59,9681953957.73062,10323185943.4422,10067665958.7495,10937197116.1273,9096294764.22441,9027784328.8162,10533329174.2461,11327514563.3877,11121713968.0099,11150639100.5037,11731542143.1078,11445828538.1382,11003494201.5789
 Объем транзакций cash+pos,Кредитные карты,1,60-69,7590389733.48065,8149085818.8348,7896459676.24124,8743683706.07602,7202849858.95212,7152547038.90154,8480664113.66869,9321795834.86108,9110054923.20382,9205465431.7718,9782943593.65087,9574693039.19302,9266105782.37336
 Объем транзакций cash+pos,Кредитные карты,1,От 70,379095066.731732,427373459.40595,406869169.958309,457385754.320154,375579223.629413,378733926.681431,443871771.640966,484937457.672343,481270990.537713,497695995.067715,538893435.509895,544626836.707612,544630328.449823
 Остатки на конец месяца,Кредитные карты,0,0-13,2596948.83748426,2478875.99547787,1530359.21206009,1376055.58848289,1450269.4396471,1357114.97258656,1629227.48693514,1712923.86476086,1541460.52249771,8469330.21615303,6468626.38962502,4805435.84750395,4261656.15746222
 Остатки на конец месяца,Кредитные карты,0,14-21,404239618.719237,449163283.124524,495797611.572847,544425738.270385,579337867.998679,618065869.696941,658510009.304493,710289971.762963,781708784.163099,860103519.450135,919180940.933299,966677971.263248,1014707035.36298
 Остатки на конец месяца,Кредитные карты,0,22-29,42258388803.1355,43084997288.3437,44091016636.8342,44089358456.4828,45490649506.7731,46188476581.2879,47376896620.6574,48631125472.2311,50272389825.9424,51513947542.7152,52874848271.8452,53721540949.8519,54817022290.8183
 Остатки на конец месяца,Кредитные карты,0,30-39,173368932231.253,175858811839.4,179215010798.839,177676547152.754,182656467897.632,184857296868.036,189179605232.195,192539741239.111,197846116889.678,200888190027.011,204212369703.051,207897457928.246,211965891195.927
 Остатки на конец месяца,Кредитные карты,0,40-54,212287619719.153,214716098435.334,218779378469.406,215836636777.002,220666779166.152,222146227985.859,226649703575.054,229943434605.734,236263895758.608,239930783589.43,243836958792.973,249178358156.862,254065069674.771
 Остатки на конец месяца,Кредитные карты,0,55-59,52919570421.2621,53210992569.7888,53820371627.9052,53431266509.0881,53971791640.0876,53892826455.1048,54719936307.6832,55456575620.7127,56747265731.5834,57419613992.6234,58202552337.8908,58934339790.5374,59749020935.6294
 Остатки на конец месяца,Кредитные карты,0,60-69,51056964809.0748,52057221745.6059,53110925306.4775,53387756287.8938,54537090911.9696,54896599098.8933,56135579715.4533,57441204978.812,59279869324.9692,60508330470.7409,61903179654.172,63264699317.8057,64470092071.6593
 Остатки на конец месяца,Кредитные карты,0,От 70,1897542657.82109,2039716872.39038,2202251451.4139,2317011011.56343,2520306731.88515,2632376007.93247,2794187759.58183,2960413018.6699,3171770244.54716,3341405789.54168,3521419117.15286,3723811775.70344,3940951354.75009
 Остатки на конец месяца,Кредитные карты,1,0-13,1739779.3502145,1674543.36728415,1777311.24232471,1930835.9126497,1835443.67760826,1675033.19758823,1655952.75488392,1263501.48513058,1520150.02231556,9731081.96865682,5125613.21555555,4795083.92926121,4743809.82513465
 Остатки на конец месяца,Кредитные карты,1,14-21,259132401.085768,294656981.260502,325440446.828134,359661296.617733,404051506.451625,440786818.205321,482573503.180792,533302281.523587,583435505.061779,640801293.260247,681098129.542825,706383939.672601,713815259.29525
 Остатки на конец месяца,Кредитные карты,1,22-29,45230471535.5612,46306762593.4893,47593014731.644,47803811396.0101,49821015756.1606,50811288002.513,52636283777.5955,54144280882.1812,55653856931.7169,56896478337.5909,58123844443.2675,58428018948.7018,58854166514.1142
 Остатки на конец месяца,Кредитные карты,1,30-39,189271075359.496,192514353632.752,196306109365.297,194598193370.694,201331736918.642,203890802719.735,210747092707.306,214921179094.389,220372975673.136,224171476094.769,227577560383.239,229564344004.496,232043851887.02
 Остатки на конец месяца,Кредитные карты,1,40-54,191001759566.193,193353211196.772,196916194209.33,194799402356.81,200575079800.056,202367416788.512,209159512257.294,212665510750.611,218458803995.395,222867396910.301,226934083443.287,230104668957.153,233060879681.13
 Остатки на конец месяца,Кредитные карты,1,55-59,35926613453.5432,36238571195.2093,36718153534.0146,36185127943.5393,36932383912.5459,37164432898.174,38142238054.2181,38866266032.3977,39958191656.5958,40713175443.6427,41429356461.888,41726271947.7867,42179319518.6157
 Остатки на конец месяца,Кредитные карты,1,60-69,27674234620.0026,28132206241.4629,28721951425.4481,28585014823.5043,29405640361.6606,29575566593.0291,30526903556.6771,31320711680.5415,32470799574.8402,33344817282.4414,34194562774.9923,34704908584.6195,35318283536.3916
 Остатки на конец месяца,Кредитные карты,1,От 70,933540411.236424,992233365.028084,1052621327.6494,1084139216.22136,1179218801.25475,1211607065.80351,1294620282.20941,1364058536.39726,1451388124.87374,1541342003.92796,1609850297.73358,1696869192.69861,1804447148.00683
 Количество транзакций cash,Кредитные карты,0,0-13,12.8923270638047,,3.2142503472905,3.23021449002185,1.61250259048334,4.84719862564341,1.62148265710234,3.24077158162768,1.61475587014393,32.4066366158501,9.7217713088015,4.83080558822583,1.60754355814556
 Количество транзакций cash,Кредитные карты,0,14-21,3825.79805618404,4496.22132803744,4331.20234297395,4669.27504532659,4435.99462641966,4882.74474889812,5287.65494481072,6248.20760937817,6966.05682380091,7518.33969487722,7845.46944620281,7671.31927410262,5689.09665227714
 Количество транзакций cash,Кредитные карты,0,22-29,140357.153202759,155638.307063347,149183.001368794,152107.570120639,142179.190910687,144512.764092057,157304.897013469,174627.356290217,177022.456532139,168282.802950617,172227.659916291,167913.971441142,134726.618064621
 Количество транзакций cash,Кредитные карты,0,30-39,468823.027511725,500241.555990788,475361.912361486,472026.398105158,439931.019248616,441581.41052899,492089.178260074,537491.689127696,534837.824553202,495594.693766195,505634.186656421,504614.679866364,431173.725622244
 Количество транзакций cash,Кредитные карты,0,40-54,714584.623706385,747989.774338977,707676.677587428,689696.016622526,649378.980726497,635937.918088538,715242.485978469,784785.246206959,778982.453095483,728611.373688804,739400.658957425,766458.835164969,678817.418298126
 Количество транзакций cash,Кредитные карты,0,55-59,232990.134697078,243887.891179402,228057.490640955,226992.017535571,209464.086503785,200200.613369199,230198.649863505,255214.002824761,252357.276897833,236079.107082806,242148.25946441,247801.003453632,219357.356226752
 Количество транзакций cash,Кредитные карты,0,60-69,264420.016537751,280676.616402737,264891.192495731,269496.794902523,247661.047867155,237881.119752076,273741.945137331,309681.650797178,305502.12209601,289136.872882107,301509.395075952,308400.239020866,282924.451146502
 Количество транзакций cash,Кредитные карты,0,От 70,13849.5823482922,15380.2885285509,15749.8267017234,16884.3311393442,15802.5253867367,16272.0457862849,19782.0884166485,22372.6666137667,23526.993027997,22945.5190558527,24607.4234777947,26208.7305846545,25458.6673303512
 Количество транзакций cash,Кредитные карты,1,0-13,,3.21158666288388,8.03562586822624,12.9208579600874,6.45001036193334,6.46293150085787,4.86444797130701,3.24077158162768,1.61475587014393,12.96265464634,6.48118087253434,14.4924167646775,9.64526134887336
 Количество транзакций cash,Кредитные карты,1,14-21,2394.74975210172,3513.47580919497,3403.89111778064,3666.2934461748,4052.21900988462,4530.51498210137,5010.38141044622,6210.93873618945,5937.45733451923,6294.98916262888,6605.94360433062,6054.60967057637,4341.97515055116
 Количество транзакций cash,Кредитные карты,1,22-29,150998.157653046,175237.014673596,172097.392094628,175318.276338691,174832.368367975,176948.601561988,197404.16312361,205983.441728255,199268.948155112,189596.647852862,195290.942051205,182045.688055232,144076.091398796
 Количество транзакций cash,Кредитные карты,1,30-39,522192.426933228,576686.953327413,541538.505636677,543595.030346083,532993.381253181,528333.340065005,601096.592849093,624986.04028848,599655.739936649,564395.603633476,578160.220915298,553719.81867068,473096.854075122
 Количество транзакций cash,Кредитные карты,1,40-54,604848.358821045,651341.89109948,613880.03107797,606742.49341152,601129.678214054,582416.766597059,670695.492939897,697206.634985053,675323.200011594,645956.626668247,660030.497697152,649854.460144903,579067.732971636
